municipalidad;codigo_portal;municipalidad_id;region
Malloa;MU164;6109;O'Higgins
Marchihue;MU165;6204;O'Higgins
María Elena;MU166;2302;Antofagasta
María Pinto;MU167;13504;Metropolitana
Mariquina;MU168;14106;Los Ríos
Maule;MU169;7105;Maule
Maullín;MU170;10108;Los Lagos
Mejillones;MU171;2102;Antofagasta
Melipeuco;MU172;9110;Araucanía
Melipilla;MU173;13501;Metropolitana
Molina;MU174;7304;Maule
Monte Patria;MU175;4303;Coquimbo
Mostazal;MU176;6110;O'Higgins
Mulchén;MU177;8305;Bíobío
Nacimiento;MU178;8306;Bíobío
Nancagua;MU179;6305;O'Higgins
Navidad;MU180;6205;O'Higgins
Negrete;MU181;8307;Bíobío
Ninhue;MU182;16204;Ñuble
Nogales;MU183;5506;Valparaíso
Nueva Imperial;MU184;9111;Araucanía
Ñiquén;MU185;16303;Ñuble
Ñuñoa;MU186;13120;Metropolitana
O'Higgins;MU187;11302;Aisén
Olivar;MU188;6111;O'Higgins
Ollagüe;MU189;2202;Antofagasta
Olmué;MU190;5803;Valparaíso
Osorno;MU191;10301;Los Lagos
Ovalle;MU192;4301;Coquimbo
Padre Hurtado;MU193;13604;Metropolitana
Padre Las Casas;MU194;9112;Araucanía
Paihuano;MU195;4105;Coquimbo
Paillaco;MU196;14107;Los Ríos
Paine;MU197;13404;Metropolitana
Palena;MU198;10404;Los Lagos
Palmilla;MU199;6306;O'Higgins
Panguipulli;MU200;14108;Los Ríos
Panquehue;MU201;5704;Valparaíso
Papudo;MU202;5403;Valparaíso
Paredones;MU203;6206;O'Higgins
Parral;MU204;7404;Maule
Pedro Aguirre Cerda;MU205;13121;Metropolitana
Pelarco;MU206;7106;Maule
Pelluhue;MU207;7203;Maule
Pemuco;MU208;16105;Ñuble
Pencahue;MU209;7107;Maule
Penco;MU210;8107;Bíobío
Peñaflor;MU211;13605;Metropolitana
Peñalolén;MU212;13122;Metropolitana
Peralillo;MU213;6307;O'Higgins
Perquenco;MU214;9113;Araucanía
Petorca;MU215;5404;Valparaíso
Peumo;MU216;6112;O'Higgins
Pica;MU217;1405;Tarapacá
Pichidegua;MU218;6113;O'Higgins
